,Prices,Beds,Baths,SquareFt,Loc,p/sf
0,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
1,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
2,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
3,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
4,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
5,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
6,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
7,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
8,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
9,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
10,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
11,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
12,399999.0,4,2,2100,"Montross, VA",190.47571428571428
13,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
14,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
15,299000.0,3,2,1300,"Suffolk, VA",230.0
16,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
17,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
18,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
19,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
20,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
21,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
22,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
23,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
24,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
25,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
26,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
27,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
28,1495000.0,4,6,4758,"Huguenot, Richmond, VA",314.20765027322403
29,897500.0,4,5,3385,"Hayes, VA",265.1403249630724
30,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
31,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
32,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
33,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
34,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
35,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
36,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
37,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
38,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
39,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
40,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
41,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
42,399999.0,4,2,2100,"Montross, VA",190.47571428571428
43,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
44,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
45,299000.0,3,2,1300,"Suffolk, VA",230.0
46,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
47,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
48,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
49,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
50,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
51,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
52,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
53,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
54,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
55,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
